site,resolution,date,GPP,GPP.lower,GPP.upper,GPP.n_eff,GPP.Rhat,ER,ER.lower,ER.upper,ER.n_eff,ER.Rhat,K600,K600.lower,K600.upper,K600.n_eff,K600.Rhat,DO.obs,DO.sat,DO.amp,DO.psat,depth,temp.water,discharge,shortwave
NC_EllerbeClub,15min,2021-10-05,0.4398440933658315,-0.00197339200222732,0.91972600715414,3905.732788246346,0.9989677886054918,-4.509592263162798,-6.7613052356269465,-2.1876711712777537,3073.3016408698,0.9988026824014544,12.705114022979776,6.225287430541128,18.882435869026843,3142.3888556823845,0.99862763999925,6.924340104166666,8.848313550710259,0,78.25604353284751,0.1493406532528581,21.793264583333332,0.034322345463315085,254.4527527273879
NC_EllerbeClub,15min,2021-10-06,0.6003523356987757,0.08164598650080909,1.088531968873247,2791.093774367262,1.0011855523257749,-6.279145995712434,-8.843185943220208,-3.745942992797831,2200.7228524944053,1.0007331097266,22.596700611976587,13.632713078640876,31.834675703152826,2275.505036712354,1.0007970663360066,6.640069895833333,8.84852158766241,0,75.0415742341823,0.10235047186096297,21.944025,0.00951563135653613,252.1502476671126
NC_EllerbeClub,15min,2021-10-07,0.7055765856622789,0.20333696278157515,1.227471468700455,2815.8735645389206,1.0018460207285524,-5.289169951987185,-7.8074370244379505,-2.904632979554605,2486.8995256271487,1.0011359531548167,18.52306709798377,10.600028054726591,26.73636173354152,2466.1019679594833,1.0002487046665698,6.228437291666666,8.986911407085232,0,69.30564917727129,0.08221025704531891,21.042572916666668,0.00430061702350579,249.84849505364272
NC_EllerbeClub,15min,2021-10-08,0.15072005270265637,-0.31943361815371,0.6433715600231205,2744.5582895487755,0.999178784624394,-1.4395556865779675,-2.970913323607844,0.05771931676939505,2272.9415859567157,0.99989895364955,4.199069720658476,0.9004892789851634,7.9184648671459295,2228.0894835964514,0.9995372831199616,5.9921179166666665,8.972613940379631,0,66.78229952255296,0.09561097354655673,20.94930520833333,0.013521281506001747,247.59878864160495
NC_EllerbeClub,15min,2021-10-16,1.0495694222912548,0.5197628555216267,1.578948739674516,2276.077394263145,0.9984183001435158,-4.2833754462840306,-5.72945715470327,-2.765010625114871,2301.0394370834474,0.9988192837962616,9.889040046985794,6.984557898011487,12.564895798331603,2420.167966951757,0.9988176743291688,7.0954508333333335,8.945920248988212,0,79.31493503014218,0.1682255138258144,20.802569791666667,0.15323234139513195,229.6390318161213
NC_EllerbeClub,15min,2021-10-17,-0.09757822599655402,-0.5259262863850667,0.3342724808405201,3710.9339501927016,0.9990899285098236,-2.138764269204657,-4.052291006787612,-0.28089446454312317,2034.082578693518,1.0017602940013497,7.275652810764258,1.729349824322727,12.739214508741092,1879.5169258091637,1.0019412680457744,7.131076354166667,10.029348087942743,0,71.1020924953201,0.12099261590373793,15.594584375,0.017798301179584322,227.41363795678356
NC_EllerbeClub,15min,2021-10-18,0.13727457354151212,-0.2958328518907485,0.5862973115964144,4533.122954725396,0.998351216034616,-3.3721366109736683,-5.279104762796057,-1.5479753082871153,3119.358993855821,0.9990196972030968,15.825970795251289,8.044397484695475,24.249859532178338,3081.134480515637,0.9988953605965596,7.9055553125,10.599431081403825,0,74.58471357363608,0.08542510791891479,13.152011770833333,0.005091128245933465,225.19591811714736
NC_EllerbeClub,15min,2021-10-19,0.3980417914841458,-0.11712771241697628,0.8971068352727849,2371.583846156983,0.998785141158522,-4.054962739921243,-6.107751413603946,-2.014403767529948,2429.168815955311,0.9991670228571208,19.98746131094157,11.128210229823004,29.12800491172619,2461.2482986975597,0.999501795045016,7.871250104166666,10.510806303192602,0,74.88721490163715,0.076831024689461,13.694238333333333,0.0033891693827216344,223.03600629957933
NC_EllerbeClub,15min,2021-10-20,0.36773107081555534,-0.09867786760038089,0.8265646975950495,2760.60710112992,0.9991914135169114,-4.012714210857712,-5.963717717788836,-2.0082202880498916,2546.896052107932,0.9992794315740092,19.533514528483497,10.597417876351082,28.332231316489583,2523.2649408008933,0.9993833991368366,7.718541770833333,10.382532320026527,0,74.34161082210446,0.07689598618469085,14.23194375,0.00339801838894284,220.91162137937675
NC_EllerbeClub,15min,2021-10-21,0.4695584122802154,-0.07518709756724963,1.0102655521201562,2477.507967505259,1.0001922563135437,-3.5404821486142133,-5.787745648544298,-1.2018776701630995,2224.681284715022,0.9998045661969136,11.691133604924026,4.212778460315729,19.096119247194626,2120.9968432167148,0.9996218406221486,6.619409895833333,9.844097454271397,0,67.24242548981614,0.07743909613557855,16.502916666666668,0.003486508451154894,218.80813465570267
NC_EllerbeClub,15min,2021-10-22,0.7608310074608117,0.3197569677819014,1.2482123090851691,2609.0295505928634,0.9999359677919188,-1.7711006457575618,-2.9125464620797996,-0.6225757863514908,2022.7221069168136,0.9998923341029236,7.914927433150224,3.5022006951726423,12.299550689600917,2128.1488400019266,0.999710020721349,7.5819442708333336,9.732779252795801,0,77.90112231976671,0.07823351855601134,16.809415625,0.0036280925506941815,216.71550962016786
NC_EllerbeClub,15min,2021-10-23,0.7336977501015997,0.21376960092028868,1.2492856401764452,2299.329660346374,0.9993164708033486,-3.3547791370795057,-4.98669763630226,-1.799046567469545,2053.270333480172,0.9999792619644354,20.51245934311064,11.77348915139056,29.16878323574492,1952.703648212544,1.000251702384215,8.300347395833333,10.148901770521507,0,81.78567083920859,0.0764849162130296,14.999105208333333,0.003344924351615608,214.6347045112389
NC_EllerbeClub,15min,2021-10-24,0.6409280633437872,0.1509661308134705,1.1573992435187028,2752.5601892059285,0.9993317043223402,-3.4154078661779472,-5.019186363037147,-1.795324770548762,2246.128081691557,0.9991472898712884,18.93704338625666,10.177018539320594,27.282116415035993,2054.8567494198696,0.9991428562847152,7.955763854166666,9.935733257306724,0,80.07223672511547,0.07836238305208765,16.147429166666665,0.003636941556915386,212.5666727095513
NC_EllerbeClub,15min,2021-11-20,0.07433855842419468,-0.3364827789244636,0.5066737045325055,3751.52382965634,0.9985566071796588,-3.908046633241665,-6.049216311410899,-1.7095886925812611,2879.4811627323875,0.999686921400982,18.920388969119475,8.910746057444635,28.587570643020232,2703.1422529509796,0.999938393651738,10.295765208333334,12.988538812409725,0,79.26807901206242,0.10366318644258946,5.263125291666666,0.009424191625583677,166.0064467594088
